OBJECTID	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	FROM_X	FROM_Y	NEAR_X	NEAR_Y
153	6	12	8841.240362	15	-3.7473445	40.4193577	-3.6515286	40.3881478
154	6	3	9456.427652	16	-3.7473445	40.4193577	-3.6392422	40.4400457
155	6	23	10254.80928	17	-3.7473445	40.4193577	-3.6897308	40.5005477
156	6	20	11104.59213	18	-3.7473445	40.4193577	-3.6605173	40.4942012
157	6	21	11202.62377	19	-3.7473445	40.4193577	-3.7746101	40.5180701
158	6	22	12026.61758	20	-3.7473445	40.4193577	-3.6163407	40.4607255
159	6	17	12579.54902	21	-3.7473445	40.4193577	-3.6121394	40.3730118
160	6	18	14934.03423	22	-3.7473445	40.4193577	-3.5805649	40.4623628
161	6	7	15566.86247	23	-3.7473445	40.4193577	-3.5800258	40.4769179
162	7	18	1616.898232	1	-3.5800258	40.4769179	-3.5805649	40.4623628
163	7	22	3566.221765	2	-3.5800258	40.4769179	-3.6163407	40.4607255
164	7	3	6480.131945	3	-3.5800258	40.4769179	-3.6392422	40.4400457
165	7	20	7089.273145	4	-3.5800258	40.4769179	-3.6605173	40.4942012
166	7	2	8724.448505	5	-3.5800258	40.4769179	-3.6773491	40.4514734
167	7	16	9305.309611	6	-3.5800258	40.4769179	-3.6887449	40.4655841
168	7	9	9451.254363	7	-3.5800258	40.4769179	-3.6453104	40.4079517
169	7	23	9664.04417	8	-3.5800258	40.4769179	-3.6897308	40.5005477
170	7	14	10222.95555	9	-3.5800258	40.4769179	-3.6903729	40.4398904
171	7	1	10634.56526	10	-3.5800258	40.4769179	-3.6823158	40.4215533
172	7	15	11122.16265	11	-3.5800258	40.4769179	-3.6824999	40.4144444
173	7	11	11152.52455	12	-3.5800258	40.4769179	-3.7115364	40.4782322
174	7	10	11329.51668	13	-3.5800258	40.4769179	-3.7071303	40.4455439
175	7	12	11574.84965	14	-3.5800258	40.4769179	-3.6515286	40.3881478
176	7	17	11855.50056	15	-3.5800258	40.4769179	-3.6121394	40.3730118
177	7	8	12255.26537	16	-3.5800258	40.4769179	-3.7031662	40.4192091
178	7	13	12597.47435	17	-3.5800258	40.4769179	-3.6868138	40.3980991
179	7	0	12669.17774	18	-3.5800258	40.4769179	-3.7122567	40.4238823
180	7	6	15566.86247	19	-3.5800258	40.4769179	-3.7473445	40.4193577
181	7	19	15578.97299	20	-3.5800258	40.4769179	-3.7187679	40.3850336
182	7	5	15782.90968	21	-3.5800258	40.4769179	-3.7318356	40.3947825
183	7	21	17116.36986	22	-3.5800258	40.4769179	-3.7746101	40.5180701
184	7	4	18320.65068	23	-3.5800258	40.4769179	-3.7133167	40.347147
185	8	0	929.7644258	1	-3.7031662	40.4192091	-3.7122567	40.4238823
186	8	1	1788.57327	2	-3.7031662	40.4192091	-3.6823158	40.4215533
187	8	15	1832.058629	3	-3.7031662	40.4192091	-3.6824999	40.4144444
188	8	14	2540.172686	4	-3.7031662	40.4192091	-3.6903729	40.4398904
189	8	13	2724.239049	5	-3.7031662	40.4192091	-3.6868138	40.3980991
190	8	10	2943.575479	6	-3.7031662	40.4192091	-3.7071303	40.4455439
191	8	5	3644.096226	7	-3.7031662	40.4192091	-3.7318356	40.3947825
192	8	6	3749.416605	8	-3.7031662	40.4192091	-3.7473445	40.4193577
193	8	19	4019.406331	9	-3.7031662	40.4192091	-3.7187679	40.3850336
194	8	2	4199.340462	10	-3.7031662	40.4192091	-3.6773491	40.4514734
195	8	9	5067.204738	11	-3.7031662	40.4192091	-3.6453104	40.4079517
196	8	16	5292.977836	12	-3.7031662	40.4192091	-3.6887449	40.4655841
197	8	12	5577.736175	13	-3.7031662	40.4192091	-3.6515286	40.3881478
198	8	3	5897.208494	14	-3.7031662	40.4192091	-3.6392422	40.4400457
199	8	11	6592.469263	15	-3.7031662	40.4192091	-3.7115364	40.4782322
200	8	4	8048.207311	16	-3.7031662	40.4192091	-3.7133167	40.347147
201	8	22	8690.184576	17	-3.7031662	40.4192091	-3.6163407	40.4607255
202	8	20	9079.211968	18	-3.7031662	40.4192091	-3.6605173	40.4942012
203	8	23	9103.726162	19	-3.7031662	40.4192091	-3.6897308	40.5005477
204	8	17	9275.656046	20	-3.7031662	40.4192091	-3.6121394	40.3730118
205	8	18	11452.47999	21	-3.7031662	40.4192091	-3.5805649	40.4623628
206	8	7	12255.26537	22	-3.7031662	40.4192091	-3.5800258	40.4769179
207	8	21	12538.93703	23	-3.7031662	40.4192091	-3.7746101	40.5180701
208	9	12	2261.545755	1	-3.6453104	40.4079517	-3.6515286	40.3881478
209	9	15	3237.910623	2	-3.6453104	40.4079517	-3.6824999	40.4144444
210	9	1	3485.111967	3	-3.6453104	40.4079517	-3.6823158	40.4215533
211	9	3	3600.821383	4	-3.6453104	40.4079517	-3.6392422	40.4400457
212	9	13	3689.170141	5	-3.6453104	40.4079517	-3.6868138	40.3980991
213	9	17	4794.263388	6	-3.6453104	40.4079517	-3.6121394	40.3730118
214	9	8	5067.204738	7	-3.6453104	40.4079517	-3.7031662	40.4192091
215	9	14	5215.582045	8	-3.6453104	40.4079517	-3.6903729	40.4398904
216	9	2	5544.993193	9	-3.6453104	40.4079517	-3.6773491	40.4514734
217	9	0	5950.96836	10	-3.6453104	40.4079517	-3.7122567	40.4238823
218	9	22	6354.815795	11	-3.6453104	40.4079517	-3.6163407	40.4607255
219	9	10	6704.176596	12	-3.6453104	40.4079517	-3.7071303	40.4455439
220	9	19	6735.646557	13	-3.6453104	40.4079517	-3.7187679	40.3850336
221	9	16	7384.937069	14	-3.6453104	40.4079517	-3.6887449	40.4655841
222	9	5	7489.429178	15	-3.6453104	40.4079517	-3.7318356	40.3947825
223	9	18	8166.100152	16	-3.6453104	40.4079517	-3.5805649	40.4623628
224	9	6	8752.406856	17	-3.6453104	40.4079517	-3.7473445	40.4193577
225	9	4	8884.862449	18	-3.6453104	40.4079517	-3.7133167	40.347147
226	9	7	9451.254363	19	-3.6453104	40.4079517	-3.5800258	40.4769179
227	9	11	9616.307738	20	-3.6453104	40.4079517	-3.7115364	40.4782322
228	9	20	9663.914613	21	-3.6453104	40.4079517	-3.6605173	40.4942012
229	9	23	10950.83059	22	-3.6453104	40.4079517	-3.6897308	40.5005477
230	9	21	16425.15279	23	-3.6453104	40.4079517	-3.7746101	40.5180701
231	10	14	1554.132238	1	-3.7071303	40.4455439	-3.6903729	40.4398904
232	10	0	2444.381887	2	-3.7071303	40.4455439	-3.7122567	40.4238823
233	10	2	2610.805122	3	-3.7071303	40.4455439	-3.6773491	40.4514734
234	10	16	2717.387658	4	-3.7071303	40.4455439	-3.6887449	40.4655841
235	10	8	2943.575479	5	-3.7071303	40.4455439	-3.7031662	40.4192091
236	10	1	3395.606618	6	-3.7071303	40.4455439	-3.6823158	40.4215533
237	10	11	3649.010613	7	-3.7071303	40.4455439	-3.7115364	40.4782322
238	10	15	4036.590387	8	-3.7071303	40.4455439	-3.6824999	40.4144444
239	10	6	4483.184724	9	-3.7071303	40.4455439	-3.7473445	40.4193577
240	10	13	5543.361079	10	-3.7071303	40.4455439	-3.6868138	40.3980991
241	10	3	5791.876654	11	-3.7071303	40.4455439	-3.6392422	40.4400457
242	10	5	6014.010931	12	-3.7071303	40.4455439	-3.7318356	40.3947825
243	10	23	6283.52421	13	-3.7071303	40.4455439	-3.6897308	40.5005477
244	10	20	6694.767214	14	-3.7071303	40.4455439	-3.6605173	40.4942012
245	10	9	6704.176596	15	-3.7071303	40.4455439	-3.6453104	40.4079517
246	10	19	6791.433357	16	-3.7071303	40.4455439	-3.7187679	40.3850336
247	10	22	7883.735722	17	-3.7071303	40.4455439	-3.6163407	40.4607255
248	10	12	7930.309804	18	-3.7071303	40.4455439	-3.6515286	40.3881478
249	10	21	9879.154408	19	-3.7071303	40.4455439	-3.7746101	40.5180701
250	10	18	10897.23181	20	-3.7071303	40.4455439	-3.5805649	40.4623628
251	10	4	10938.83002	21	-3.7071303	40.4455439	-3.7133167	40.347147
252	10	7	11329.51668	22	-3.7071303	40.4455439	-3.5800258	40.4769179
253	10	17	11396.54586	23	-3.7071303	40.4455439	-3.6121394	40.3730118
254	11	16	2389.199745	1	-3.7115364	40.4782322	-3.6887449	40.4655841
255	11	23	3091.634615	2	-3.7115364	40.4782322	-3.6897308	40.5005477
256	11	10	3649.010613	3	-3.7115364	40.4782322	-3.7071303	40.4455439
257	11	2	4151.654367	4	-3.7115364	40.4782322	-3.6773491	40.4514734
258	11	14	4620.551667	5	-3.7115364	40.4782322	-3.6903729	40.4398904
259	11	20	4675.017629	6	-3.7115364	40.4782322	-3.6605173	40.4942012
260	11	0	6035.502258	7	-3.7115364	40.4782322	-3.7122567	40.4238823
261	11	8	6592.469263	8	-3.7115364	40.4782322	-3.7031662	40.4192091
262	11	1	6764.358493	9	-3.7115364	40.4782322	-3.6823158	40.4215533
263	11	21	6939.567762	10	-3.7115364	40.4782322	-3.7746101	40.5180701
264	11	6	7208.878399	11	-3.7115364	40.4782322	-3.7473445	40.4193577
265	11	3	7455.285123	12	-3.7115364	40.4782322	-3.6392422	40.4400457
266	11	15	7499.313458	13	-3.7115364	40.4782322	-3.6824999	40.4144444
267	11	22	8303.940993	14	-3.7115364	40.4782322	-3.6163407	40.4607255
268	11	13	9142.119106	15	-3.7115364	40.4782322	-3.6868138	40.3980991
269	11	5	9425.211714	16	-3.7115364	40.4782322	-3.7318356	40.3947825
270	11	9	9616.307738	17	-3.7115364	40.4782322	-3.6453104	40.4079517
271	11	19	10367.22195	18	-3.7115364	40.4782322	-3.7187679	40.3850336
272	11	7	11152.52455	19	-3.7115364	40.4782322	-3.5800258	40.4769179
273	11	12	11224.56662	20	-3.7115364	40.4782322	-3.6515286	40.3881478
274	11	18	11245.97743	21	-3.7115364	40.4782322	-3.5805649	40.4623628
275	11	17	14410.53899	22	-3.7115364	40.4782322	-3.6121394	40.3730118
276	11	4	14556.82229	23	-3.7115364	40.4782322	-3.7133167	40.347147
277	12	9	2261.545755	1	-3.6515286	40.3881478	-3.6453104	40.4079517
278	12	13	3193.087499	2	-3.6515286	40.3881478	-3.6868138	40.3980991
279	12	17	3743.375909	3	-3.6515286	40.3881478	-3.6121394	40.3730118
280	12	15	3929.295886	4	-3.6515286	40.3881478	-3.6824999	40.4144444
281	12	1	4537.615119	5	-3.6515286	40.3881478	-3.6823158	40.4215533
282	12	8	5577.736175	6	-3.6515286	40.3881478	-3.7031662	40.4192091
283	12	19	5719.774926	7	-3.6515286	40.3881478	-3.7187679	40.3850336
284	12	3	5856.469025	8	-3.6515286	40.3881478	-3.6392422	40.4400457
285	12	0	6505.307302	9	-3.6515286	40.3881478	-3.7122567	40.4238823
286	12	14	6624.359375	10	-3.6515286	40.3881478	-3.6903729	40.4398904
287	12	5	6858.089698	11	-3.6515286	40.3881478	-3.7318356	40.3947825
288	12	4	6947.562054	12	-3.6515286	40.3881478	-3.7133167	40.347147
289	12	2	7365.383603	13	-3.6515286	40.3881478	-3.6773491	40.4514734
290	12	10	7930.309804	14	-3.6515286	40.3881478	-3.7071303	40.4455439
291	12	22	8594.66434	15	-3.6515286	40.3881478	-3.6163407	40.4607255
292	12	6	8841.240362	16	-3.6515286	40.3881478	-3.7473445	40.4193577
293	12	16	9160.374425	17	-3.6515286	40.3881478	-3.6887449	40.4655841
294	12	18	10206.88574	18	-3.6515286	40.3881478	-3.5805649	40.4623628
295	12	11	11224.56662	19	-3.6515286	40.3881478	-3.7115364	40.4782322
296	12	7	11574.84965	20	-3.6515286	40.3881478	-3.5800258	40.4769179
297	12	20	11801.16744	21	-3.6515286	40.3881478	-3.6605173	40.4942012
298	12	23	12895.17052	22	-3.6515286	40.3881478	-3.6897308	40.5005477
299	12	21	17808.55431	23	-3.6515286	40.3881478	-3.7746101	40.5180701
300	13	15	1851.593678	1	-3.6868138	40.3980991	-3.6824999	40.4144444
301	13	1	2632.249439	2	-3.6868138	40.3980991	-3.6823158	40.4215533
302	13	8	2724.239049	3	-3.6868138	40.3980991	-3.7031662	40.4192091
303	13	19	3076.59484	4	-3.6868138	40.3980991	-3.7187679	40.3850336
304	13	12	3193.087499	5	-3.6868138	40.3980991	-3.6515286	40.3881478
305	13	0	3586.190482	6	-3.6868138	40.3980991	-3.7122567	40.4238823
306	13	9	3689.170141	7	-3.6868138	40.3980991	-3.6453104	40.4079517
307	13	5	3839.96094	8	-3.6868138	40.3980991	-3.7318356	40.3947825
308	13	14	4650.438774	9	-3.6868138	40.3980991	-3.6903729	40.4398904
309	13	10	5543.361079	10	-3.6868138	40.3980991	-3.7071303	40.4455439
310	13	6	5654.335192	11	-3.6868138	40.3980991	-3.7473445	40.4193577
311	13	2	5981.008561	12	-3.6868138	40.3980991	-3.6773491	40.4514734
312	13	4	6089.097265	13	-3.6868138	40.3980991	-3.7133167	40.347147
313	13	3	6164.099816	14	-3.6868138	40.3980991	-3.6392422	40.4400457
314	13	17	6925.689763	15	-3.6868138	40.3980991	-3.6121394	40.3730118
315	13	16	7495.524286	16	-3.6868138	40.3980991	-3.6887449	40.4655841
316	13	11	9142.119106	17	-3.6868138	40.3980991	-3.7115364	40.4782322
317	13	22	9171.846102	18	-3.6868138	40.3980991	-3.6163407	40.4607255
318	13	20	10902.17554	19	-3.6868138	40.3980991	-3.6605173	40.4942012
319	13	23	11378.91949	20	-3.6868138	40.3980991	-3.6897308	40.5005477
320	13	18	11498.15686	21	-3.6868138	40.3980991	-3.5805649	40.4623628
321	13	7	12597.47435	22	-3.6868138	40.3980991	-3.5800258	40.4769179
322	13	21	15262.11485	23	-3.6868138	40.3980991	-3.7746101	40.5180701
323	14	10	1554.132238	1	-3.6903729	40.4398904	-3.7071303	40.4455439
